110105,Saumya,1
110107,Tilak,1
110120,Charvi,1
110122,Suravinda,1
110124,Madura,1
110125,Maina,1
110127,Manali,1
110128,Madur,1
110136,Kangana,1
110141,Makul,1
110149,Niloufer,1
110152,Tilottama,1
110155,Vibhishan ,1
110158,Anuga,1
110160,Ivy,1
110167,Shyamlata,1
110202,Shevantilal ,2
110203,Tanuja,1
110212,Bhanudas ,1
110216,Punthali,1
110217,Dakshina,1
110220,Kanakabati,1
110222,Samudragupta ,1
110224,Vikramajit ,1
110232,Gool,1
110239,Kusum,1
110241,Rajanigandha,1
110242,Rangana,1
110244,Shefali,1
110246,Shevanti,1
110249,Champak ,1
110250,Kinshuk ,1
110252,Rangan ,1
110253,Shirish ,1
110254,Palash ,1
110258,Toral,1
110261,Subhaga,1
110265,Soumil ,1
110267,Shejali,1
110268,Kanan,1
110305,Vaijayanti,1
110309,Maniya,1
110313,Siddheshwar ,1
110314,Sarasvati,1
110316,Sumeet  Sumit ,1
110334,Suryakanta ,1
110339,Tilaka,1
110340,Mahindra ,1
110345,Prasenjit ,1
110347,Trishanku ,1
110359,Sandeep,1
110363,Kumudini,1
110365,Ragini,1
110368,Darpan ,1
110401,Shabalini,2
110402,Malay ,1
110403,Mainak ,1
110404,Timila,1
110408,Veena,1
110414,Shravanti,1
110415,Uttiya ,1
110420,Akul ,1
110421,Sugata ,1
110424,Navroz ,1
110430,Tukaram ,1
110436,Dhanashri,1
110440,Patmanjari,1
110444,Kamod ,1
110446,Archisha,1
110449,Jailekha,1
110452,Gatita,1
110460,Shilavati,1
110461,Shipra,1
110462,Tapti,1
110506,Markandeya,1
110509,Jayani,1
110511,Adhita ,1
110518,Parnika,1
110529,Punarnava,1
110530,Reva,1
110531,Revati,1
110535,Vishakha,1
110546,Pival,1
110552,Mannath,1
110602,Gaurika,2
110615,Kevalkumar ,1
110621,Prasiddhi ,1
110623,Siddhi,1
110624,Siddhima,1
110628,Krithya,1
110630,Panya,1
110634,Mandith,1
110636,Utkarsha ,1
110637,Musheer ,1
110638,Ishrat,1
110639,Mamata,1
110644,Snehanshn ,1
110649,Sammathi,1
110655,Vedika,1
110656,Ehimaya,1
110658,Parashar ,1
110663,Jaimini ,1
110665,Shameek ,1
110701,Kundini,2
110718,Avanti,1
110723,Noopur,1
110729,Palaniappan ,1
110730,Palanikumar ,1
110741,Lagan ,1
110744,Vishvakarma,1
110746,Mahabahu ,1
110749,Meghamala,1
110801,Bhaumik ,2
110804,Yukta ,1
110805,Kaandhal,1
110806,Mohana,1
110812,Mohul ,1
110816,Kalyani,1
110818,Shreya,1
110821,Shubha ,1
110829,Sharad  Sarat ,1
110839,Anindita,1
110845,Husna,1
110846,Kamya,1
110848,Madhulekha,1
110853,Rupashi,1
110855,Sanjula,1
110857,Shakeela,1
110861,Sohni,1
110862,Sonam,1
110920,Chitraksh,1
110921,Malarvili,1
110924,Charusila,1
110928,Priyanka,1
110929,Charulekha,1
